,body,cites_papers
0,"""In-situ spatio-temporal measurements of the detailed azimuthal substructure    "" by   et al",[2094918]
1,"6$ for a 48h checkout of an article, restricted to a proprietary system    I guess that's supposed to be a bargain?",[2950824]
2,"Gas from many, large, violent Siberian pipe eruptions in end-Permian extinction",[4234292]
3,"A new ornithuromorph  Aves  with an elongate rostrum from the Jehol Biota, and the early evolution of rostralization",[4978753]
4,E  Triassic polar predator ecosystem revealed by vertebrate coprolites from Bulgo Sandstone of S E  Australia  ,[6763948]
5,New Minisauripus site from Lower Cretaceous of China  Tracks of small adults or juveniles?  ,[6763949]
6,"""A new Minisauripus site from the Lower Cretaceous of China  Tracks of small adults or juveniles?""",[6763949]
7,OS Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size distribution,[6774644]
8,Oceanography OS  Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size,[6774644]
9,"CP Ocean carbon cycling during the past 130,000 years  a pilot study on inverse paleoclimate record modelling",[6779361]
10,"Ocean carbon cycling during the past 130,000 years  a pilot study on inverse paleoclimate record modelling  O",[6779361]
11,"Ocean carbon cycling during the past 130,000 years  a pilot study on inverse paleoclimate record modelling",[6779361]
12,"New paper  Ocean carbon cycling during the past 130,000 years  a pilot study on inverse paleoclimate record m",[6779361]
13,General models of ecological diversification I and II and,"[6815271,6815274]"
14,New enantiornithine Linyiornis amoena   birds  dinosaurs,[4980643]
15,Global trends of pCO2 across KPg supported by 1st S  Hemisphere stomatal proxy-based pCO2 reconstruction  OA,[6827269]
16,"Study of ~60,000 year record of foraminifera from the Gulf of Alaska identifies no-analog fossil assemblages",[6836432]
17,Belanger et al  develop tests for down-slope transport of benthic forams using modern-analogue data from Gulf Alaska,[6836432]
18,Benthic foraminiferal faunas reveal transport dynamics and no-analog environments on a glaciated margin,[6836432]
19,"New issue of Paleobiology out, with a nice paper on late Pz ice age paleoecology in ice-proximal areas",[6838310]
20,"Redescription ofE  Triassic Saurichthys madagascariensis, and  the E  saurichthyid morphotype    - v",[6846249]
21,"The Saurichthys revolution continues, with a redescription of the Early Triassic S  madagascarensis",[6846249]
22,"Protomiamia yangigen  et sp  nov , a sexually dimorphic Palaeozoic stem-Orthoptera    - v",[6852120]
23,"New online  Protomiamia yangi  Pennsylvanian  Xiaheyan, China , a sexually dimorphic Palaeozoic stem-Orthoptera",[6852120]
24,300Ma old remote relative of crickets and  grasshoppers  Male 2/3 size of female  FossilFriday,[6852120]
25,"New 3D Jehol bird with egg follicles  Linyiornis amoena, 'beautiful bird from Linyi'  China",[4980643]
26,"New online  Protomiamia yangi  Pennsylvanian  Xiaheyan, China , a sexually dimorphic Palaeozoic stem-Orthoptera ",[6852120]
27,300Ma old remote relative of crickets and  grasshoppers  Male 2/3 size of female  FossilFriday ht,[6852120]
28,"Protomiamia yangi gen  et sp  nov   Early Pennsylvanian  China , a sexually dimorphic Palaeozoic stem-Orthoptera",[6852120]
29,OS Seasonal and interannual variability of coccolithophore blooms in  the North East-Atlantic Ocean from a 18-yea,[6860575]
30,Oceanography OS  Seasonal and interannual variability of coccolithophore blooms in  the North East-Atlantic Ocean,[6860575]
31,Open Access UCL Research  Revisiting carbonate chemistry controls on planktic foraminifera Mg/Ca  implications,[6862567]
32,New plotopterid material described by Mayr and  Goedert in,[6870561]
33,"New Eo-Oligocene remains of plotopterids from W  Washington State, US    - v",[6870561]
34,New plotopterids from WA,[6870561]
35,"New pub  Klallamornis and  Olympidyptes, flightless penguin-like birds from Eo-Oligocene of WA",[6870561]
36,A new Jehol enantiornithine bird with 3D preservation and  ovarian follicles    - v,[4980643]
37,"New pub  Klallamornis and  Olympidyptes, flightless penguin-like birds from Eo-Oligocene of WA ",[6870561]
38,"New late Eocene and  Oligocene remains of flightless penguin-like plotopterids, western Washington State  ornithology",[6870561]
39,"New late Eocene and  Oligocene remains of flightless penguin-like plotopterids, western Washington State",[6870561]
40,"New ichnotaxon, Lepeichnus giberti, and new ichnological concept  Ichnogeny are presented    FossilFriday ",[6871254]
41,"New ichnotaxon, Lepeichnus giberti, and new ichnological concept  Ichnogeny are presented    FossilFriday",[6871254]
42,New trace fossil named in honour of the much-missed Jordi de Gibert introduces concept of  ichnogeny,[6871254]
43,CP A  413-year  tree-ring  based  April-July  minimum  temperature  reconstruction and its implications on the ex,[6887809]
44,A 413-year tree-ring based April-July minimum temperature reconstruction and its implications on the extreme,[6887809]
45,A  413-year  tree-ring  based  April-July  minimum  temperature  reconstruction and its implications on the ex,[6887809]
46,New paper  A  413-year  tree-ring  based  April-July  minimum  temperature  reconstruction and its implication,[6887809]
47,"New 3D Jehol bird with egg follicles  Linyiornis amoena, 'beautiful bird from Linyi'  China ",[4980643]
48,"Oceanography OS  Design and validation of MEDRYS, a Mediterranean Sea  reanalysis over the period 19922013",[6896232]
49,"OS Design and validation of MEDRYS, a Mediterranean Sea  reanalysis over the period 19922013",[6896232]
50,Earliest record of the genusLariosaurusfrom M  Triassic of Germanic Basin    - v,[6904822]
51,New in    Judy Massare and    have a look at Ichthyosaurus  marinereptiles,[6916865]
52,"Oi, what's this paywall doing around you paper?     Also, congrats, looks awesome!",[6916865]
53,"New specimen ofIchthyosaurus conybeari from Somerset, U K , and  a re-examination of species    - v",[6916865]
54,Ostracods as proxies for past  seagrass,[6935770]
55,Oceanography OS  ,[6939836]
56,"New online  Gabaleryon, a new genus of widespread early Toarcian polychelidan lobsters",[6945295]
57,A new  Jehol  enantiornithine  bird with three-dimensional preservation and ovarian follicles,[4980643]
58,"Gabaleryon, a new genus of widespread early Toarcian polychelidan lobsters    - v",[6945295]
59,"Gabaleryon, a new genus of widespread early Toarcian polychelidan lobsters",[6945295]
60,"FossilFriday Jurassic polychelidan lobster recently described from Brenoux, France",[6945295]
61,New paper  Changes in Holocene meridional circulation and poleward Atlantic flow  the Bay of Biscay as a nodal point,[6947099]
62,Changes in Holocene meridional circulation and poleward Atlantic flow  the Bay of Biscay as a nodal point,[6947099]
63,Greenland warming during the last interglacial  the relative importance of insolation and oceanic changes,[6960050]
64,Greenland warming during the last interglacial  the relative importance of insolation and oceanic changes  Gre,[6960050]
65,Greenland warming during the last interglacial  the relative importance of insolation and oceanic changes  climate,[6960050]
66,CP Greenland warming during the last interglacial  the relative importance of insolation and oceanic changes,[6960050]
67,New paper  Greenland warming during the last interglacial  the relative importance of insolation and oceanic changes,[6960050]
68,OS Mapping turbulent diffusivity associated with oceanic internal lee waves offshore Costa Rica,[6961047]
69,Oceanography OS  Mapping turbulent diffusivity associated with oceanic internal lee waves offshore Costa Rica,[6961047]
70,5 Myr old  Deinotherium bone fragment is so far the oldest mammal bone found from  Finland,[6967137]
71,Bet you didn't see this coming  a Miocene  Deinotherium from Finland! Congrats   et al !,[6967137]
72,5 mill yrs old  deinotherium fossil from Finland! Ping,[6967137]
73,Here,[6967137]
74,A 5 million year old Deinotherium found in Finland  Perfect for  PlioceneWeek HT,[6967137]
75,Stable isotopes show resource partitioning among E  Late Miocene herbivore community at Rudabnya II  ,[6979823]
76,"Amazing research    by Currie and  colleagues of  ! Also check out the new   in Wembley, Alberta","[4980975,4980975]"
77,  Th,[6979855]
78,New paper  ,[6979855]
79,    Fish feeding trace fossil  Lower Devonian of the Holy Cross Mountains,[7060928]
80,"Fish feeding trace fossil from the Lower Devonian of the Holy Cross Mountains  Osculichnus  literally, kiss mark",[7060928]
81,Fun trace fossil  imprints of lungfish noses rooting in Early Devonian mud!,[7060928]
82,"    Diet and locomotion,not body size, differentiate mammal communities in  tropical ecosystems",[7060937]
83,New mammal faunal data from Bolivia that shows end of S  American M  Miocene Climatic Optimum    - v,[7065643]
84,"New mammal faunal data from Cerdas, Bolivia",[7065643]
85,New online  Fossil evidence of social insect commensalism in the Phoridae  Insecta  Diptera,[7065667]
86,Such anticipation  Much satisfaction  So Chasmosaurus,[4980975]
87,Fossil evidence of social insect commensalism in the Phoridae    - v,[7065667]
88,Fossil evidence of social insect commensalism in the Phoridae  Insecta  Diptera,[7065667]
89,Systematic description of putative animal  fossils from the early Ediacaran Lantian Formation of South China,[7069723]
90,Earth's earliest animals? New Ediacaran fossils provide tantalizing evidence  fossilfriday,[7069723]
91,Do you want to know more about the diet of sabertooth cats and other Miocene predators? Check out  CC/,[7075345]
92,A colleague just mocked the title of my latest paper  Let me know what you think,[7083947]
93,"Organic matter in U  Albian marine sediments in High-Tatric units, C  W  Carpathians and  Oceanic Anoxic Event 1d  ",[7087977]
94,Our new paper on lake variability during the last 900 years in Lutzow-Holm Bay  Antarctica  diatoms,[7090797]
95,Our new paper on lake variability during the last 900 years in Lutzow-Holm Bay  Antarctica  diatoms    ,[7090797]
96,Juvenile chasmosaur paper is out in JVP  Great specimen!,[4980975]
97,"New paper  Bergstrm et al in press  Upper Ordovician 13C chemostrat, K-bentonite strat, and  biostrat in Scandinavia",[7096882]
98,"""In press"" version of this paper can be checked and downloaded from",[7099265]
99,Stable isotopes in fossil mammal teeth and  environmental change in S W  S  Africa during Plio-Pleistocene  ,[7109994]
100,Proliferation of MISS-related microbial mats post P-T mass extinction in N  Paleo-Tethys  Evidence from W  China  ,[7109995]
101,OS Projected sea level rise and changes in extreme storm surge and wave events during the 21st century in the reg,[7111749]
102,Oceanography OS  Projected sea level rise and changes in extreme storm surge and wave events during the 21st cent,[7111749]
103,New science paper estimates future risk of coastal flooding in Singapore,[7111749]
104,Ichnology and  variability in Cenozoic Niger Delta  e g 's from cores in coastal swamp and  offshore depobelts  ,[7120750]
105,Benthic forams record environmental perturbations during Portugese Late PliensbachianEarly Toarcian interval  ,[7120751]
106,New results on solar wind driver efficiency and polar cap saturation   JGRSpace  SpaceWeather,[7130808]
107,The basalt pipes of the Tunguska Basin  Siberia   volatile degassing into the end-Permian atmosphere,[4234292]
108,Baby Chasmosaurus now out in JVP - what a fossil! A huge leap forward in our understanding of dino ontogeny,[4980975]
109,New info on  mammoths and   mastodons fr western Canada incl  RAM specimens  See  paleontology,[7132154]
